meets criteria?,Notes,Reviewer 1,Reviewer 2,Number,Article Title,Abstract,article type,Publication Year,Authors,Source Title,Publication Date,DOI,DOI Link,Book DOI
TBD,,Adria,Jackson,48,Feature-guided attentional capture cannot be prevented by spatial filtering,"Feature-based control processes guide attention towards objects with target features in visual search. While these processes are assumed to operate globally across the entire visual field, it remains controversial whether target-matching objects at task-irrelevant locations can be excluded from attentional selection, especially when spatial attention is already narrowly focused elsewhere. We investigated whether probe stimuli at irrelevant lateral locations capture attention when they precede search displays where targets are defined either by a specific feature (colour or orientation) or by a colour/orientation conjunction by measuring N2pc components (an electrophysiological marker of attentional target selection) to these probes. Reliable N2pcs were triggered by probes not only in the feature search tasks but also when participants searched for feature conjunctions, in spite of the fact that conjunction search requires focal spatial attention. Analogous N2pc results were found in the absence of any spatial uncertainty about the location of conjunctively defined targets, which always appeared at fixation. These results show that rapid attentional capture by objects with target-matching features cannot be prevented by top-down spatial filtering mechanisms, and confirm that feature-based attentional guidance processes operate in a spatially global fashion.",Article,2018,"Berggren, N; Eimer, M",BIOLOGICAL PSYCHOLOGY,APR,10.1016/j.biopsycho.2018.02.007,http://dx.doi.org/10.1016/j.biopsycho.2018.02.007,
TBD,,Adria,Jackson,49,Volitional covert orienting to a peripheral cue does not suppress cue-induced inhibition of return,"Detection reaction time (RT) at an extrafoveal location can be increased bu noninformative precues presented at that location or ipsilaterally to it. This cue-induced inhibition is called inhibition of return or ipsilateral inhibition. We measured detection RT to simple Light targets at extrafoveal locations that could be designated for covert orienting by local or distant cues. We found that cue-induced inhibition co-occurred in an additive fashion with the direct effects of covert orienting, i.e., it detracted from facilitation at attended locations and increased the disadvantage for unattended locations. Thus, cue-induced inhibition cannot be suppressed by a volitional covert orienting to the cued location; the co-occurrence of different facilitatory and inhibitory effects confirms the simultaneous operation of multiple independent attentional mechanisms during covert orienting.",Article,2000,"Berlucchi, G; Chelazzi, L; Tassinari, G",JOURNAL OF COGNITIVE NEUROSCIENCE,JUL,10.1162/089892900562408,http://dx.doi.org/10.1162/089892900562408,
TBD,,Adria,Jackson,50,The Limits of Visual Working Memory in Children: Exploring Prioritization and Recency Effects With Sequential Presentation,"Recent research has demonstrated that, when instructed to prioritize a serial position in visual working memory (WM), adults are able to boost performance for this selected item, at a cost to nonprioritized items (e.g., Hu, Hitch, Baddeley, Zhang, & Allen, 2014). While executive control appears to play an important role in this ability, the increased likelihood of recalling the most recently presented item (i.e., the recency effect) is relatively automatic, possibly driven by perceptual mechanisms. In 3 Experiments 7 to 10 year-old's ability to prioritize items in WM was investigated using a sequential visual task (total N = 208). The relationship between individual differences in WM and performance on the experimental task was also explored. Participants were unable to prioritize the first (Experiments 1 and 2) or final (Experiment 3) item in a 3-item sequence, while large recency effects for the final item were consistently observed across all experiments. The absence of a priority boost across 3 experiments indicates that children may not have the necessary executive resources to prioritize an item within a visual sequence, when directed to do so. In contrast, the consistent recency boosts for the final item indicate that children show automatic memory benefits for the most recently encountered stimulus. Finally, for the baseline condition in which children were instructed to remember all 3 items equally, additional WM measures predicted performance at the first and second but not the third serial position, further supporting the proposed automaticity of the recency effect in visual WM.",Article,2018,"Berry, EDJ; Waterman, AH; Baddeley, AD; Hitch, GJ; Allen, RJ",DEVELOPMENTAL PSYCHOLOGY,FEB,10.1037/dev0000427,http://dx.doi.org/10.1037/dev0000427,
TBD,,Adria,Jackson,51,The ventriloquist effect does not depend on the direction of deliberate visual attention,"It is well known that discrepancies in the location of synchronized auditory and visual events can lead to mislocalizations of the auditory source, so-called ventriloquism. In two experiments, we tested whether such cross-modal influences on auditory localization depend on deliberate visual attention to the biasing visual event. In Experiment 1, subjects pointed to the apparent source of sounds in the presence or absence of a synchronous peripheral flash. They also monitored for target visual events, either at the location of the peripheral flash or in a central location. Auditory localization was attracted toward the synchronous peripheral flash, but this was unaffected by where deliberate visual attention was directed in the monitoring task. In Experiment 2, bilateral flashes were presented in synchrony with each sound, to provide competing visual attractors. When these visual events were equally salient on the two sides, auditory localization was unaffected by which side subjects monitored for visual targets: When one flash was larger than the other, auditory localization was slightly but reliably attracted toward it, but again regardless of where visual monitoring was required. We conclude that ventriloquism largely reflects automatic sensory interactions, with little or no role for deliberate spatial attention.",Article,2000,"Bertelson, P; Vroomen, J; de Gelder, B; Driver, J",PERCEPTION & PSYCHOPHYSICS,FEB,10.3758/BF03205552,http://dx.doi.org/10.3758/BF03205552,
TBD,,Adria,Jackson,52,Attentional capture: Role of top-down focused spatial attention and the need to search among multiple locations,"Top-down focused spatial attention can counteract bottom-up attentional capture of an irrelevant but salient distractor outside the attentional focus. The present behavioural study differentiates two alternative concepts accounting for the absence of attentional capture under top-down focused attention. In particular, top-down focused attention may counteract attentional capture by altering salience coding outside the focus of attention. Alternatively, spatially focusing on a pre-defined region of potential target locations may omit the need to search among multiple salience signals, thereby eliminating the tendency of unattended stimuli to compete for attentional selection and, hence, to capture attention. Spatial cues explicitly indicating a variable number of potential target locations preceded the additional singleton paradigm to gradually manipulate the need to search for a target (i.e., to select a target from an array of distractors) and to determine its effects on attentional capture. Attentional capture occurred only when a salient distractor was located at potential target locations and never occurred when located outside the attended spotlight. This finding was independent of the parametrical variations related to the need to search for the target, which did not modulate attentional capture either. Accordingly, our data suggest that the presence or absence of salience-based distraction of unattended stimuli is not per se affected by the need to select a target from multiple salience signals.",Article,2017,"Bertleff, S; Fink, GR; Weidner, R",VISUAL COGNITION,,10.1080/13506285.2017.1338813,http://dx.doi.org/10.1080/13506285.2017.1338813,
TBD,,Adria,Jackson,53,Providing Semi-private Feedback on a Shared Public Screen by Controlling Presentation Onset,"We describe a novel technique to provide semi-private feedback on a shared public screen. The technique uses a no-onset presentation that takes advantage of perceptual limitations in human vision to avoid alerting other users to feedback directed at one individual user by suppressing the sudden onset of the feedback. Three experiments evaluated the effectiveness of the technique and appropriate timing parameters and alternatives for presentation onset. Our experiments indicated that an 80 ms no-onset presentation allows participants to interpret information directed to them with over 90% accuracy, but their ability to interpret simultaneously presented information intended for others will be close to random chance. The technique initially camouflages the information being presented by overlaying additional visual elements and then removes those elements to reveal only the elements encoding the information being presented. We discuss applications for the technique, including classroom clicker usage, which was our original motivation for the study.",Article,2020,"Beshai, P; Caceffo, R; Booth, KS",ACM TRANSACTIONS ON APPLIED PERCEPTION,NOV,10.1145/3419983,http://dx.doi.org/10.1145/3419983,
TBD,,Adria,Jackson,54,Automatic object-based spatial selection depends on the distribution of sustained attention,"Several space-based and object-based attention studies suggest these selection mechanisms may be voluntarily deployed, depending on task parameters and the attentional scope of the observer. Here, we sought to elucidate factors related to involuntary deployment of object-mediated space-based attention through two experiments. Experiment 1 used a modified flanker task where a target and nearby distractor were presented within the same or different object frames, such that an object-based attentional spread should be detrimental to performance. Results showed the presence of a flanker effect with no significant difference in magnitude between grouping conditions, indicating participants may have uniformly used a diffused attentional spotlight regardless of object segmentation. In a second experiment, we manipulated the extent of the observer's sustained attentional scope via an inducer task to determine whether object-based selection depends on the initial spotlight size. The results revealed object-based effects solely when attention narrowly encompassed the target, but not when it was widened to include the distracting flanker. This suggests the deployment of object-based attention may occur when spatial attention is initially focused narrowly. Because selecting the whole object frame directly interfered with task goals, we conclude that object-based attention may not always fully conform to relevant task goals or operate in a goal-oriented manner. We discuss these results in the context of existing literature while proposing a reconciliation of previously inconsistent findings of object-based selection.",Article,2021,"Bidiwala, ES; Scolari, M",ATTENTION PERCEPTION & PSYCHOPHYSICS,OCT,10.3758/s13414-021-02325-x,http://dx.doi.org/10.3758/s13414-021-02325-x,
TBD,,Adria,Jackson,55,Effects of spoken cues on decision-making in netball: An eye movement study,"Thirteen international netballers viewed computerized static images of scenarios taken from netball open play. Two 'team mates, each marked by one opponent, could be seen in each image; each team mate-opponent pair was located on opposite sides of the display, such that a binary response was required ('left' or 'right') from the participant, in order to select a team mate to whom they would pass the ball. For each trial, a spoken word (left/right) was presented monaurally at the onset of the visual image. Spatially invalid auditory cues (i.e., in the ear contralateral to the correct passing,option [as judged by three netball experts]), reduced performance accuracy relative to valid ones. Semantically invalid cues (e.g., a call of left when the target was right-located), increased response times relative to valid ones. However, there were no accompanying changes in visual attention to the team mates and their markers. The effects of auditory cues on covert attentional shifts and decision-making are discussed.",Article,2016,"Bishop, DT",INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,JAN-FEB,10.7352/IJSP2016.47.001,http://dx.doi.org/10.7352/IJSP2016.47.001,
TBD,,Adria,Jackson,56,Attentional capture by spoken language: effects on netballers' visual task performance,"In two experiments, participants performed visual detection, visual discrimination and decision-making tasks, in which a binary (left/right) response was required. In all experimental conditions, a spoken word (left/right) was presented monaurally (left or right ear) at the onset of the visual stimulus. In Experiment 1, 26 non-athletes located a target amongst an array of distractors as quickly as possible, in both the presence and absence of spoken cues. Participants performed superiorly in the presence of valid cues, relative to invalid-cue and control conditions. In Experiment 2, 42 skilled netballers completed three tasks, in randomised order: a visual detection task, a visual discrimination task and a netball decision-making task - all in the presence of spoken cues. Our data showed that spoken auditory cues affected not only target detection, but also performance on more complex decision-making tasks: cues that were either spatially or semantically invalid slowed target detection time; spatially invalid cues impaired discrimination task accuracy; and cues that were either spatially or semantically valid improved accuracy and speeded decision-making time in the netball task. When studying visual perception and attention in sport, the impact of concomitant auditory information should be taken into account in order to achieve a more representative task design.",Article,2014,"Bishop, DT; Moore, S; Horne, S; Teszka, R",JOURNAL OF SPORTS SCIENCES,,10.1080/02640414.2014.908323,http://dx.doi.org/10.1080/02640414.2014.908323,
TBD,,Adria,Jackson,57,Neural processing of fearful faces: Effects of anxiety are gated by perceptual capacity limitations,"Debate continues as to the automaticity of the amygdala's response to threat. Accounts taking a strong automaticity line suggest that the amygdala's response to threat is both involuntary and independent of attentional resources. Building on these accounts, prominent models have suggested that anxiety modulates the output of an amygdala-based preattentive threat evaluation system. Here, we argue for a modification of these models. Functional magnetic resonance imaging data were collected while volunteers performed a letter search task of high or low perceptual load superimposed on fearful or neutral face distractors. Neither high- nor low-anxious volunteers showed an increased amygdala response to threat distractors under high perceptual load, contrary to a strong automaticity account of amygdala function. Under low perceptual load, elevated state anxiety was associated with a heightened response to threat distractors in the amygdala and superior temporal sulcus, whereas individuals high in trait anxiety showed a reduced prefrontal response to these stimuli, consistent with weakened recruitment of control mechanisms used to prevent the further processing of salient distractors. These findings suggest that anxiety modulates processing subsequent to competition for perceptual processing resources, with state and trait anxiety having distinguishable influences upon the neural mechanisms underlying threat evaluation and top-down control.",Article,2007,"Bishop, SJ; Jenkins, R; Lawrence, AD",CEREBRAL CORTEX,JUL,10.1093/cercor/bhl070,http://dx.doi.org/10.1093/cercor/bhl070,
TBD,,Adria,Jackson,58,DETECTABILITY AND CHOICE DURING VISUAL-SEARCH - JOINT EFFECTS OF SEQUENTIAL PRIMING AND DISCRIMINABILITY,"Pigeons searched for symbolic targets among heterogeneous distractor items displayed on a video monitor. Phase 1 varied target identity and overall display size, thus establishing differential discriminabilities of three target symbols. Phase 2 varied the relative probability of these targets within sessions. The findings showed that reaction time was lower not only when targets were more discriminable, but also when they were relatively frequent; these effects did not depend on the discriminability of the less frequent targets. Phase 3 was similar in design but provided occasional choice trials on which two targets appeared. The birds were more likely to respond to the more frequent target on such trials only if it was also the most discriminable. The data are not consistent with certain predictions from Guilford and Dawkins' (1987) reinterpretation of effects attributed to search images. The data indicate that detection and choice are modified jointly by priming-induced expectancies and stimulus-driven perceptual processes.",Article,1992,"BLOUGH, PM",ANIMAL LEARNING & BEHAVIOR,AUG,10.3758/BF03213383,http://dx.doi.org/10.3758/BF03213383,
TBD,,Adria,Jackson,59,SELECTIVE ATTENTION AND SEARCH IMAGES IN PIGEONS,"In a visual search task, pigeons detected targets when pretrial visual cues or blocked trial sequences signaled the target's identity. Sequential priming was robust over a wide range of intertrial intervals, but visual priming was unstable when the delay between cue offset and display onset was varied. Larger target set sizes enhanced sequential, but not visual, priming. Sequential priming did not depend on display size over the range of relatively large displays used. However, ambiguously cued targets in small displays were detected more quickly than primed targets in large displays. These findings suggest that naturalistic selection biases, or search images, may be attributable to sequential priming and that the common attentional mechanism has moderately selective properties.",Article,1991,"BLOUGH, PM",JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL BEHAVIOR PROCESSES,JUL,10.1037/0097-7403.17.3.292,http://dx.doi.org/10.1037/0097-7403.17.3.292,
TBD,,Adria,Jackson,60,Working memory load disrupts gaze-cued orienting of attention,"A large body of work has shown that a perceived gaze shift produces a shift in a viewer's spatial attention in the direction of the seen gaze. A controversial issue surrounds the extent to which this gaze-cued orienting effect is stimulus-driven, or is under a degree of top-down control. In two experiments we show that the gaze-cued orienting effect is disrupted by a concurrent task that has been shown to place high demands on executive resources: random number generation (RNG). In Experiment 1 participants were faster to locate targets that appeared in gaze-cued locations relative to targets that appeared in locations opposite to those indicated by the gaze shifts, while simultaneously and continuously reciting aloud the digits 1-9 in order; however, this gaze-cueing effect was eliminated when participants continuously recited the same digits in a random order. RNG was also found to interfere with gaze-cued orienting in Experiment 2 where participants performed a speeded letter identification response. Together, these data suggest that gaze-cued orienting is actually under top-down control. We argue that top-down signals sustain a goal to shift attention in response to gazes, such that orienting ordinarily occurs when they are perceived; however, the goal cannot always be maintained when concurrent, multiple, competing goals are simultaneously active in working memory.",Article,2015,"Bobak, AK; Langton, SRH",FRONTIERS IN PSYCHOLOGY,AUG 24,10.3389/fpsyg.2015.01258,http://dx.doi.org/10.3389/fpsyg.2015.01258,
TBD,,Adria,Jackson,61,Pinning down response inhibition in the brain - Conjunction analyses of the Stop-signal task,"Successful behavior requires a finely-tuned interplay of initiating and inhibiting motor programs to react effectively to constantly changing environmental demands. One particularly useful paradigm for investigating inhibitory motor control is the Stop-signal task, where already-initiated responses to Go-stimuli are to be inhibited upon the rapid subsequent presentation of a Stop-stimulus (yielding successful and unsuccessful Stop-trials). Despite the extensive use of this paradigm in functional neuroimaging, there is no consensus on which functional comparison to use to characterize response-inhibition-related brain activity. Here, we utilize conjunction analyses of successful and unsuccessful Stop-trials that are each contrasted against a reference condition. This conjunction approach identifies processes common to both Stop-trial types while excluding processes specific to either, thereby capitalizing on the presence of some response-inhibition-related activity in both conditions. Using this approach on fMRI data from human subjects, we identify a network of brain structures that was linked to both types of Stop-trials, including lateral-inferior frontal and medial frontal cortical areas and the caudate nucleus. In addition, comparisons with a reference condition matched for visual stimulation identified additional activity in the right inferior parietal cortex that may play a role in enhancing the processing of the Stop-stimuli. Finally, differences in stopping efficacy across subjects were associated with variations in activity in the left anterior insula. However, this region was also associated with general task accuracy (which furthermore correlated directly with stopping efficacy), suggesting that it might actually reflect a more general mechanism of performance control that supports response inhibition in a relatively nonspecific way. (c) 2010 Elsevier Inc. All rights reserved.",Article,2010,"Boehler, CN; Appelbaum, LG; Krebs, RM; Hopf, JM; Woldorff, MG",NEUROIMAGE,OCT 1,10.1016/j.neuroimage.2010.04.276,http://dx.doi.org/10.1016/j.neuroimage.2010.04.276,
TBD,,Adria,Jackson,62,DOES ATTENTION MODULATE THE PERCEPTION OF LUMINANCE CHANGES,"In a previous study assessing the modulation of visual processing by attention, Bonnel, Possami, and Schmitt showed that, when discriminating line-length, subjects precisely shared processing resources between two pairs of lines presented to the left and right of fixation. In a close replication requiring the detection of luminance increments instead of line-length differences, subjects were unable to follow the instructions and to allocate attention differentially, thus supporting the claim that light detection is fundamentally different from shape discrimination. In a subsequent experiment, we tested and rejected the possibility that luminance perception was not open to modulation by attention due to its physical nature. Replacing brightness detection by brightness identification allowed voluntary control on the quality of processing to be evidenced. The similarity between the latter results and the data from line-length discrimination suggests that task requirements may be crucial in determining the distribution of attention.",Article,1992,"BONNEL, AM; STEIN, JF; BERTUCCI, P",QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY SECTION A-HUMAN EXPERIMENTAL PSYCHOLOGY,MAY,10.1080/14640749208401302,http://dx.doi.org/10.1080/14640749208401302,
TBD,,Adria,Jackson,63,Oculomotor consequences of abrupt object onsets and offsets: Onsets dominate oculomotor capture,"Previous research has shown that the appearance of an object (onset) and the disappearance of an object (offset) have the ability to influence the allocation of covert attention. To determine whether both onsets and offsets have the ability to influence eye movements, a series of experiments was conducted in which participants had to make goal-directed eye movements to a color singleton target in the presence of an irrelevant onset/offset. In accord with previous research, onsets had the ability to capture the eyes. The offset of an object demonstrated little or no ability to interrupt goal-directed eye movements to the target. Two experiments in which the effects of onsets and offsets on covert attention were examined suggest that offsets do not capture the eyes, because they have a lesser ability to capture covert attention than do onsets. A number of other studies that have shown strong effects of offsets on attention have used offsets that were uncorrelated with target position (i.e., nonpredictive), whereas we used onsets and offsets that never served as targets (i.e., antipredictive). The present results are consistent with a new-object theory of attentional capture in which onsets receive attentional priority over other types of changes in the visual environment.",Article,2005,"Boot, WR; Kramer, AF; Peterson, MS",PERCEPTION & PSYCHOPHYSICS,JUL,10.3758/BF03193543,http://dx.doi.org/10.3758/BF03193543,
TBD,,Adria,Jackson,64,Cholinergic modulation of stimulus-driven attentional capture,"Distraction is one of the main problems encountered by people with degenerative diseases that are associated with reduced cortical cholinergic innervations. We examined the effects of donepezil, a cholinesterase inhibitor, on stimulus-driven attentional capture. Reflexive attention shifts to a distractor are usually elicited by abrupt peripheral changes. This bottom-up shift of attention to a salient item is thought to be the result of relatively inflexible hardwired mechanisms. Thirty young male participants were randomly allocated to one of two groups: placebo first/donepezil second session or the opposite. They were asked to locate a target appearing above and below fixation whilst a peripheral distractor moved abruptly (motion-jitter attentional capture condition) or not (baseline condition). A classical attentional capture effect was observed under placebo: moving distractors interfered with the task in slowing down response times as compared to the baseline condition with fixed distractors. Increased interference from moving distractors was found under donepezil. We suggest that attentional capture in our paradigm likely involved low level mechanisms such as automatic reflexive orienting. Peripheral motion-jitter elicited a rapid reflexive orienting response initiated by a cholinergic signal from the brainstem pedunculo-pontine nucleus that activates nicotinic receptors in the superior colliculus. (C) 2015 Elsevier B.V. All rights reserved.",Article,2015,"Boucart, M; Michael, GA; Bubicco, G; Ponchel, A; Waucquier, N; Deplanque, D; Deguil, J; Bordet, R",BEHAVIOURAL BRAIN RESEARCH,APR 15,10.1016/j.bbr.2015.01.024,http://dx.doi.org/10.1016/j.bbr.2015.01.024,
TBD,,Adria,Jackson,65,Effects of involuntary and voluntary attention on critical spacing of visual crowding,"Visual spatial attention can be allocated in two distinct ways: one that is voluntarily directed to behaviorally relevant locations in the world, and one that is involuntarily captured by salient external stimuli. Precueing spatial attention has been shown to improve perceptual performance on a number of visual tasks. However, the effects of spatial attention on visual crowding, defined as the reduction in the ability to identify target objects in clutter, are far less clear. In this study, we used an anticueing paradigm to separately measure the effects of involuntary and voluntary spatial attention on a crowding task. Each trial began with a brief peripheral cue that predicted that the crowded target would appear on the opposite side of the screen 80% of the time and on the same side of the screen 20% of the time. Subjects performed an orientation discrimination task on a target Gabor patch that was flanked by other similar Gabor patches with independent random orientations. For trials with a short stimulus onset asynchrony between cue and target, involuntary capture of attention led to faster response times and smaller critical spacing when the target appeared on the cue side. For trials with a long stimulus onset asynchrony, voluntary allocation of attention led to faster reaction times but no significant effect on critical spacing when the target appeared on the opposite side to the cue. We additionally found that the magnitudes of these cueing effects of involuntary and voluntary attention were not strongly correlated across subjects for either reaction time or critical spacing.",Article,2022,"Bowen, JD; Alforque, CV; Silver, MA",JOURNAL OF VISION,MAR,10.1167/jov.23.3.2,http://dx.doi.org/10.1167/jov.23.3.2,
TBD,,Adria,Jackson,66,Assessing the role of reward in task selection using a reward-based voluntary task switching paradigm,"People exhibit a remarkable ability to both maintain controlled focus on executing a single task and flexibly shift between executing several tasks. Researchers studying human multitasking have traditionally focused on the cognitive control mechanisms that allow for such stable and flexible task execution, but there has been a recent interest in how cognitive control mechanisms drive the decision of task selection. The present research operationalizes a foraging analogy to investigate what factors drive the decision to either exploit task repetitions or explore task switches. A novel paradigm-reward-based voluntary task switching-ascribes point values to tasks where the overall goal is to accumulate points as quickly as possible. The reward structure generally rewards switching tasks, thereby juxtaposing the motivation to gain increased reward (by exploring task switches) against the motivation to perform quickly (by exploiting task repetitions). Results suggest that people are highly sensitive to changes in both reward and effort demands when making task selections, and that the task selection process is efficient and flexible. We argue that a cost-benefit mechanism might underlie decisions in multitasking contexts, whereby people compute task selections based on both the reward available for selecting a task and the effort necessary to execute a task.",Article,2018,"Braun, DA; Arrington, CM",PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG,JAN,10.1007/s00426-017-0919-x,http://dx.doi.org/10.1007/s00426-017-0919-x,
TBD,,Adria,Jackson,67,"Faces, flowers and football boots: Capacity limits in distractor processing","While visual attention can be attracted by task-irrelevant stimuli, questions remain regarding how many irrelevant items can be processed simultaneously and whether capacity limits are equivalent for all types of stimuli. To explore these issues, participants were required to classify verbal stimuli that were flanked by either one or two response-matching or response-mismatching faces (Expts. 1 and 2) or objects (Expt. 2). The results revealed that when stimulus categorization was sufficient to trigger flanker interference, distractor processing was insensitive to the number of irrelevant stimuli. When, however, stimulus identification was needed to drive flanker interference, distractor processing was attenuated when two task-irrelevant items were presented. The theoretical implications of these findings are considered. (C) 2007 Elsevier B.V. All rights reserved.",Article,2008,"Brebner, JL; Macrae, CN",COGNITION,MAY,10.1016/j.cognition.2007.08.002,http://dx.doi.org/10.1016/j.cognition.2007.08.002,
TBD,,Adria,Jackson,68,Auditory object perception: A neurobiological model and prospective review,"Interaction with the world is a multisensory experience, but most of what is known about the neural correlates of perception comes from studying vision. Auditory inputs enter cortex with its own set of unique qualities, and leads to use in oral communication, speech, music, and the understanding of emotional and intentional states of others, all of which are central to the human experience. To better understand how the auditory system develops, recovers after injury, and how it may have transitioned in its functions over the course of hominin evolution, advances are needed in models of how the human brain is organized to process real-world natural sounds and auditory objects. This review presents a simple fundamental neurobiological model of hearing perception at a category level that incorporates principles of bottom-up signal processing together with top-down constraints of grounded cognition theories of knowledge representation. Though mostly derived from human neuroimaging literature, this theoretical framework highlights rudimentary principles of real-world sound processing that may apply to most if not all mammalian species with hearing and acoustic communication abilities. The model encompasses three basic categories of sound-source: (1) action sounds (non-vocalizations) produced by 'living things', with human (conspecific) and non-human animal sources representing two subcategories; (2) action sounds produced by 'non-living things', including environmental sources and human-made machinery; and (3) vocalizations (giving things'), with human versus non-human animals as two subcategories therein. The model is presented in the context of cognitive architectures relating to multisensory, sensory-motor, and spoken language organizations. The models' predictive values are further discussed in the context of anthropological theories of oral communication evolution and the neurodevelopment of spoken language proto-networks in infants/toddlers. These phylogenetic and ontogenetic frameworks both entail cortical network maturations that are proposed to at least in part be organized around a number of universal acoustic-semantic signal attributes of natural sounds, which are addressed herein.",Article; Proceedings Paper,2017,"Brefczynski-Lewis, JA; Lewis, JW",NEUROPSYCHOLOGIA,OCT,10.1016/j.neuropsychologia.2017.04.034,http://dx.doi.org/10.1016/j.neuropsychologia.2017.04.034,
TBD,,Adria,Jackson,69,Automatic Bias of Temporal Expectations following Temporally Regular Input Independently of High-level Temporal Expectation,"Exposure to rhythmic stimulation results in facilitated responses to events that appear in-phase with the rhythm and modulation of anticipatory and target-evoked brain activity, presumably reflecting exogenous, unintentional temporal expectations. However, the extent to which this effect is independent from intentional processes is not clear. In two EEG experiments, we isolated the unintentional component of this effect from high-level, intentional factors. Visual targets were presented either in-phase or out-of-phase with regularly flickering colored stimuli. In different blocks, the rhythm could be predictive (i.e., high probability for in-phase target) or not, and the color could be predictive (i.e., validly cue the interval to the target) or not. Exposure to nonpredictive rhythms resulted in faster responses for in-phase targets, even when the color predicted specific out-of-phase target times. Also, the contingent negative variation, an EEG component reflecting temporal anticipation, followed the interval of the nonpredictive rhythm and not that of the predictive color. Thus, rhythmic stimulation unintentionally induced expectations, even when this was detrimental. Intentional usage of predictive rhythms to form expectations resulted in a stronger behavioral effect, and only predictive cues modulated the latency of the target-evoked P3, presumably reflecting stimulus evaluation. These findings establish the existence of unintentional temporal expectations in rhythmic contexts, dissociate them from intentional expectations, and highlight the need to distinguish between the source of expectation (exogenous-endogenous) and the level of voluntary control involved in it (unintentional-intentional).",Article,2014,"Breska, A; Deouell, LY",JOURNAL OF COGNITIVE NEUROSCIENCE,JUL,10.1162/jocn_a_00564,http://dx.doi.org/10.1162/jocn_a_00564,
TBD,,Adria,Jackson,70,Visual attentional capture predicts belief in a meaningful world,"Here we show that the automatic, involuntary process of attentional capture is predictive of beliefs that are typically considered as much more complex and higher-level. Whereas some beliefs are well supported by evidence, others, such as the belief that coincidences occur for a reason, are not. We argue that the tendency to assign meaning to coincidences is a byproduct of an adaptive system that creates and maintains cognitive schemata, and automatically directs attention to violations of a currently active schema. Earlier studies have shown that, within subjects, attentional capture increases with schema strength. Yet, between-subjects effects could exist too: whereas each of us has schemata of various strengths, most likely different individuals are differently inclined to maintain strong or weak ones. Since schemata can be interpreted as beliefs, we predict more attentional capture for subjects with stronger beliefs than for subjects with weaker ones. We measured visual attentional capture in a reaction time experiment, and correlated it with scores on questionnaires about religious and other beliefs and about meaningfulness and surprisingness of coincidences. We found that visual attentional capture predicts a belief in meaningfulness of coincidences, and that this belief mediates a relationship between visual attentional capture and religiosity. Remarkably, strong believers were more disturbed by schema violations than weak believers, and yet appeared less aware of the disrupting events. We conclude that (a) religious people have a stronger belief in meaningfulness of coincidences, indicative of a more general tendency to maintain strong schemata, and that (b) this belief leads them to suppress, ignore, or forget information that has demonstrably captured their attention, but happens to be inconsistent with their schemata. (C) 2008 Elsevier Srl. All rights reserved.",Article,2008,"Bressan, P; Kramer, P; Germani, M",CORTEX,NOV-DEC,10.1016/j.cortex.2007.08.021,http://dx.doi.org/10.1016/j.cortex.2007.08.021,
TBD,,Adria,Jackson,71,Feature integration and spatial attention: More evidence of a dissociation between endogenous and exogenous orienting,"Prior research using a visual orienting paradigm has shown that spatial attention appears to play a greater role in detecting a conjunction of features than in detecting simple features (W. Prinzmetal, D. E. Presti, & M. I. Posner, 1986; A. Treisman, 1985). However 1 study using this procedure (K. Briand & R. M. Klein, 1987) reported that this pattern is obtained only when spatial attention is oriented exogenously (reflexively), not when it is oriented endogenously (voluntarily). Five experiments attempted to replicate and extend this finding of Briand and Klein while including procedures that addressed some of the criticisms directed at these aforementioned studies by Y. Tsal (1989a, 1989b). The data indicate that the findings reported by Briand and Klein were reliable and robust; spatial orienting effects were greater when the task required detection of conjunctions as opposed to features, but only when attention was directed by exogenous cues. A reason for this dissociation is proposed.",Article,1998,"Briand, KA",JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,AUG,10.1037/0096-1523.24.4.1243,http://dx.doi.org/10.1037/0096-1523.24.4.1243,
